QT, instance Nr, QET, QRT, error code
1,1,120,118,0
1,2,72,69,0
1,3,74,72,0
1,4,70,68,0
1,5,77,75,0
1,6,111,108,0
1,7,71,69,0
1,8,70,67,0
1,9,126,123,0
1,10,75,72,0
1,11,119,117,0
1,12,124,122,0
1,13,119,117,0
1,14,72,70,0
1,15,76,73,0
1,16,63,60,0
1,17,123,120,0
1,18,75,73,0
1,19,73,71,0
1,20,66,62,0
1,21,122,120,0
1,22,123,120,0
1,23,74,72,0
1,24,70,68,0
1,25,74,71,0
1,26,70,68,0
1,27,76,74,0
1,28,72,69,0
1,29,73,71,0
1,30,76,73,0
1,31,67,65,0
1,32,68,65,0
1,33,113,110,0
1,34,122,120,0
1,35,121,119,0
1,36,119,116,0
1,37,124,121,0
1,38,65,63,0
1,39,119,117,0
1,40,71,69,0
1,41,121,119,0
1,42,120,118,0
1,43,124,121,0
1,44,74,72,0
1,45,70,68,0
1,46,79,77,0
1,47,118,116,0
1,48,66,64,0
1,49,122,120,0
1,50,67,65,0
1,51,120,118,0
1,52,69,65,0
1,53,71,68,0
1,54,122,119,0
1,55,126,123,0
1,56,65,62,0
1,57,122,119,0
1,58,131,128,0
1,59,120,118,0
1,60,70,67,0
1,61,122,120,0
1,62,120,117,0
1,63,122,120,0
1,64,124,122,0
1,65,120,118,0
1,66,123,120,0
1,67,123,121,0
1,68,80,77,0
1,69,118,116,0
1,70,74,72,0
1,71,118,116,0
1,72,121,119,0
1,73,120,118,0
1,74,120,118,0
1,75,123,121,0
1,76,72,69,0
1,77,70,67,0
1,78,119,116,0
1,79,77,74,0
1,80,122,120,0
1,81,70,67,0
1,82,78,75,0
1,83,73,71,0
2,1,312,309,0
2,2,280,278,0
2,3,263,260,0
2,4,291,288,0
2,5,291,289,0
2,6,287,284,0
2,7,295,292,0
2,8,257,254,0
2,9,283,280,0
2,10,266,263,0
2,11,327,324,0
2,12,315,312,0
2,13,300,298,0
2,14,267,264,0
2,15,325,322,0
2,16,275,272,0
2,17,267,264,0
2,18,265,262,0
2,19,233,230,0
2,20,277,274,0
2,21,258,256,0
2,22,282,279,0
2,23,277,274,0
2,24,244,240,0
2,25,270,267,0
2,26,272,270,0
2,27,254,251,0
2,28,258,255,0
2,29,250,247,0
2,30,263,261,0
2,31,252,250,0
2,32,286,283,0
2,33,258,255,0
2,34,308,305,0
2,35,314,311,0
2,36,259,256,0
2,37,334,331,0
2,38,274,271,0
2,39,319,317,0
2,40,283,281,0
2,41,313,311,0
2,42,283,281,0
2,43,296,293,0
2,44,255,253,0
2,45,263,260,0
2,46,247,244,0
2,47,270,267,0
2,48,248,246,0
2,49,302,299,0
2,50,313,311,0
2,51,292,289,0
2,52,240,237,0
2,53,241,238,0
2,54,288,286,0
2,55,258,255,0
2,56,317,314,0
2,57,303,299,0
2,58,293,290,0
2,59,339,336,0
2,60,270,268,0
2,61,290,288,0
2,62,256,254,0
2,63,250,248,0
2,64,280,278,0
2,65,238,236,0
2,66,287,284,0
2,67,318,316,0
2,68,256,253,0
2,69,298,295,0
2,70,326,323,0
2,71,303,301,0
2,72,271,268,0
2,73,263,260,0
2,74,255,252,0
2,75,266,263,0
2,76,251,249,0
2,77,264,261,0
2,78,282,279,0
2,79,281,278,0
2,80,282,279,0
2,81,319,316,0
2,82,291,288,0
2,83,255,252,0
3,1,48,44,0
3,2,48,45,0
3,3,49,45,0
3,4,50,46,0
3,5,46,44,0
3,6,50,47,0
3,7,46,43,0
3,8,45,43,0
3,9,48,45,0
3,10,52,48,0
3,11,51,49,0
3,12,48,46,0
3,13,51,48,0
3,14,44,41,0
3,15,50,47,0
3,16,49,45,0
3,17,55,50,0
3,18,50,48,0
3,19,51,47,0
3,20,53,49,0
3,21,47,44,0
3,22,50,46,0
3,23,48,44,0
3,24,49,47,0
3,25,47,45,0
3,26,46,43,0
3,27,52,49,0
3,28,49,46,0
3,29,52,48,0
3,30,47,44,0
3,31,42,39,0
3,32,51,47,0
3,33,49,45,0
3,34,48,44,0
3,35,48,45,0
3,36,46,44,0
3,37,48,45,0
3,38,46,43,0
3,39,48,45,0
