QT, instance Nr, QET, QRT, error code
1,1,81,78,0
1,2,69,67,0
1,3,71,68,0
1,4,72,70,0
1,5,68,65,0
1,6,71,69,0
1,7,74,72,0
1,8,66,64,0
1,9,65,63,0
1,10,71,68,0
1,11,66,64,0
1,12,66,64,0
1,13,67,64,0
1,14,73,71,0
1,15,65,63,0
1,16,69,66,0
1,17,71,68,0
1,18,69,66,0
1,19,69,66,0
1,20,71,68,0
1,21,73,71,0
1,22,66,63,0
1,23,74,71,0
1,24,73,70,0
1,25,74,72,0
1,26,73,71,0
1,27,67,64,0
1,28,71,69,0
1,29,74,72,0
1,30,70,67,0
1,31,76,73,0
1,32,78,76,0
1,33,71,67,0
1,34,74,71,0
1,35,66,64,0
1,36,71,69,0
1,37,72,69,0
1,38,73,70,0
1,39,74,71,0
1,40,70,67,0
1,41,78,75,0
1,42,70,67,0
1,43,78,76,0
1,44,76,73,0
1,45,69,65,0
1,46,65,62,0
1,47,72,70,0
1,48,71,68,0
1,49,75,72,0
1,50,77,74,0
1,51,64,62,0
1,52,66,62,0
1,53,71,69,0
1,54,76,73,0
1,55,79,77,0
1,56,79,76,0
1,57,70,66,0
1,58,81,78,0
1,59,78,75,0
1,60,74,72,0
1,61,79,77,0
1,62,68,65,0
1,63,71,69,0
1,64,67,65,0
1,65,69,65,0
1,66,70,68,0
1,67,72,70,0
1,68,68,64,0
1,69,79,77,0
1,70,75,72,0
1,71,75,72,0
1,72,70,68,0
1,73,73,71,0
1,74,71,69,0
1,75,75,72,0
1,76,75,73,0
1,77,76,74,0
1,78,77,75,0
1,79,77,75,0
1,80,64,60,0
1,81,71,69,0
1,82,73,71,0
1,83,69,67,0
1,84,72,70,0
1,85,68,65,0
1,86,73,71,0
1,87,70,68,0
1,88,69,67,0
1,89,71,69,0
1,90,68,66,0
1,91,69,66,0
1,92,65,63,0
1,93,74,72,0
1,94,74,72,0
1,95,77,75,0
1,96,71,68,0
1,97,70,67,0
1,98,74,72,0
1,99,76,73,0
1,100,76,74,0
2,1,279,277,0
2,2,259,256,0
2,3,261,258,0
2,4,289,286,0
2,5,290,287,0
2,6,273,270,0
2,7,277,274,0
2,8,257,254,0
2,9,279,276,0
2,10,259,256,0
2,11,254,251,0
2,12,250,248,0
2,13,245,242,0
2,14,259,257,0
2,15,308,305,0
2,16,247,243,0
2,17,278,275,0
2,18,263,260,0
2,19,230,227,0
2,20,279,276,0
2,21,268,265,0
2,22,296,294,0
2,23,276,274,0
2,24,236,234,0
2,25,271,269,0
2,26,266,263,0
2,27,249,246,0
2,28,259,256,0
2,29,252,249,0
2,30,253,251,0
2,31,290,287,0
2,32,240,237,0
