QT, instance Nr, QET, QRT, error code
1,1,77,75,0
1,2,74,72,0
1,3,81,77,0
1,4,70,68,0
1,5,76,73,0
1,6,69,66,0
1,7,69,66,0
1,8,69,67,0
1,9,70,68,0
1,10,70,67,0
1,11,71,69,0
1,12,62,59,0
1,13,67,64,0
1,14,69,67,0
1,15,70,68,0
1,16,68,66,0
1,17,74,72,0
1,18,68,65,0
1,19,72,70,0
1,20,71,68,0
1,21,71,69,0
1,22,71,67,0
1,23,72,69,0
1,24,70,68,0
1,25,81,78,0
1,26,72,70,0
1,27,71,68,0
1,28,73,70,0
1,29,72,70,0
1,30,70,68,0
1,31,73,70,0
1,32,73,71,0
1,33,71,68,0
1,34,72,68,0
1,35,65,62,0
1,36,75,73,0
1,37,75,73,0
1,38,75,73,0
1,39,70,68,0
1,40,73,71,0
1,41,70,67,0
1,42,71,69,0
1,43,79,76,0
1,44,75,73,0
1,45,75,72,0
1,46,76,73,0
1,47,74,72,0
1,48,65,63,0
1,49,79,77,0
1,50,70,68,0
1,51,72,69,0
1,52,72,70,0
1,53,71,69,0
1,54,71,69,0
1,55,81,79,0
1,56,68,66,0
1,57,76,74,0
1,58,68,65,0
1,59,68,65,0
1,60,70,68,0
1,61,72,70,0
1,62,68,66,0
1,63,73,71,0
1,64,70,68,0
1,65,74,70,0
1,66,70,67,0
1,67,72,70,0
1,68,69,67,0
1,69,71,69,0
1,70,69,66,0
1,71,71,68,0
1,72,72,69,0
1,73,68,66,0
1,74,70,68,0
1,75,73,70,0
1,76,74,72,0
1,77,67,64,0
1,78,73,70,0
1,79,74,72,0
1,80,74,70,0
1,81,74,71,0
1,82,70,67,0
1,83,72,70,0
1,84,74,72,0
1,85,66,63,0
1,86,64,60,0
1,87,69,67,0
1,88,70,67,0
1,89,71,69,0
1,90,71,69,0
1,91,74,72,0
1,92,70,67,0
1,93,69,67,0
1,94,71,68,0
1,95,64,60,0
1,96,71,69,0
1,97,76,74,0
1,98,75,73,0
1,99,73,70,0
1,100,70,68,0
2,1,10683,10681,0
2,2,10567,10564,0
2,3,11114,11111,0
2,4,10070,10068,0
2,5,11399,11396,0
2,6,8418,8415,0
2,7,11151,11148,0
2,8,10777,10775,0
2,9,9132,9130,0
2,10,10794,10792,0
