QT, instance Nr, QET, QRT, error code
1,1,66,64,0
1,2,69,67,0
1,3,70,67,0
1,4,69,67,0
1,5,71,68,0
1,6,65,62,0
1,7,71,69,0
1,8,65,62,0
1,9,68,66,0
1,10,66,64,0
1,11,65,62,0
1,12,68,65,0
1,13,71,69,0
1,14,68,65,0
1,15,62,60,0
1,16,68,66,0
1,17,65,63,0
1,18,66,63,0
1,19,68,66,0
1,20,67,65,0
1,21,69,67,0
1,22,70,68,0
1,23,69,66,0
1,24,71,68,0
1,25,72,69,0
1,26,64,62,0
1,27,70,67,0
1,28,69,67,0
1,29,69,65,0
1,30,68,65,0
1,31,71,69,0
1,32,69,67,0
1,33,63,61,0
1,34,69,67,0
1,35,66,63,0
1,36,67,64,0
1,37,68,64,0
1,38,65,62,0
1,39,67,65,0
1,40,67,65,0
1,41,64,62,0
1,42,67,65,0
1,43,68,65,0
1,44,68,66,0
1,45,69,67,0
1,46,70,66,0
1,47,71,68,0
1,48,67,64,0
1,49,64,62,0
1,50,66,64,0
1,51,70,67,0
1,52,73,71,0
1,53,66,63,0
1,54,63,61,0
1,55,60,57,0
1,56,67,64,0
1,57,65,63,0
1,58,67,64,0
1,59,63,61,0
1,60,68,66,0
1,61,66,63,0
1,62,68,66,0
1,63,71,68,0
1,64,69,66,0
1,65,69,67,0
1,66,65,63,0
1,67,70,68,0
1,68,74,71,0
1,69,69,67,0
1,70,66,64,0
1,71,65,63,0
1,72,69,66,0
1,73,65,63,0
1,74,69,66,0
1,75,68,65,0
1,76,66,64,0
1,77,66,63,0
1,78,68,66,0
1,79,67,65,0
1,80,70,68,0
1,81,70,67,0
1,82,65,63,0
1,83,69,66,0
1,84,67,64,0
1,85,72,69,0
1,86,66,64,0
1,87,71,68,0
1,88,67,64,0
1,89,66,63,0
1,90,68,66,0
1,91,64,62,0
1,92,62,60,0
1,93,66,63,0
1,94,69,67,0
1,95,66,63,0
1,96,67,65,0
1,97,69,67,0
1,98,63,60,0
1,99,62,60,0
1,100,65,62,0
2,1,11291,11288,0
2,2,10405,10402,0
2,3,11102,11100,0
2,4,10786,10783,0
2,5,10380,10377,0
2,6,9832,9829,0
2,7,11307,11304,0
2,8,9853,9851,0
2,9,10828,10825,0
2,10,10144,10141,0
2,11,11520,11518,0
2,12,10546,10543,0
2,13,9354,9351,0
2,14,10578,10575,0
2,15,11417,11414,0
2,16,9805,9802,0
2,17,8742,8740,0
2,18,9508,9505,0
2,19,9003,9001,0
2,20,10764,10761,0
2,21,8796,8793,0
2,22,10873,10870,0
2,23,9223,9220,0
2,24,9031,9027,0
2,25,11408,11405,0
2,26,11834,11831,0
2,27,9598,9595,0
2,28,10952,10949,0
2,29,8664,8662,0
2,30,10058,10055,0
2,31,10422,10419,0
2,32,10582,10580,0
2,33,9421,9418,0
2,34,10318,10315,0
2,35,10799,10796,0
2,36,9781,9778,0
2,37,11270,11267,0
2,38,10656,10654,0
2,39,13132,13130,0
2,40,9299,9296,0
2,41,10348,10345,0
2,42,8963,8960,0
2,43,10920,10918,0
2,44,9159,9157,0
2,45,10620,10618,0
2,46,9601,9598,0
2,47,11185,11181,0
2,48,9543,9541,0
2,49,10266,10263,0
2,50,12174,12172,0
2,51,10391,10389,0
2,52,7581,7579,0
2,53,8940,8937,0
2,54,11302,11299,0
2,55,9781,9779,0
2,56,11633,11631,0
2,57,9063,9060,0
2,58,10009,10006,0
2,59,12386,12383,0
2,60,10870,10868,0
2,61,9646,9644,0
2,62,7619,7617,0
2,63,9414,9412,0
2,64,8456,8454,0
2,65,9663,9659,0
2,66,11957,11954,0
2,67,12727,12724,0
2,68,8611,8609,0
2,69,9743,9741,0
2,70,12987,12985,0
2,71,10230,10227,0
2,72,10796,10794,0
2,73,8380,8378,0
2,74,9333,9330,0
2,75,9604,9601,0
2,76,9246,9243,0
2,77,9686,9684,0
2,78,10369,10366,0
2,79,11088,11085,0
2,80,11129,11126,0
2,81,10425,10422,0
2,82,9803,9800,0
2,83,9471,9468,0
2,84,10519,10516,0
2,85,8709,8706,0
2,86,8598,8595,0
2,87,9893,9890,0
2,88,10567,10564,0
2,89,9998,9995,0
