"Client Nr","Query Number","Execution time","Error"
1,1,149,0
1,2,117,0
1,3,116,0
1,4,358,0
1,5,107,0
1,6,1949,0
1,7,141,0
1,8,22,0
1,9,48,0
1,10,1890,0
1,11,94,0
1,12,5663,0
1,13,133,0
1,14,4994,0
1,15,82,0
1,16,104,0
1,17,19,0
1,18,15,0
1,19,1994,0
1,20,5263,0
1,21,6577,0
1,22,87,0
1,23,1082,0
1,24,6048,0
1,25,139,0
1,26,23,0
1,27,71,0
1,28,5919,0
1,29,93,0
1,30,111,0
1,31,70,0
1,32,119,0
1,33,55,0
1,34,47,0
1,35,6239,0
1,36,25,0
1,37,383,0
1,38,6149,0
1,39,2096,0
1,40,99,0
1,41,1030,0
1,42,118,0
1,43,70,0
1,44,79,0
1,45,21,0
1,46,5013,0
1,47,107,0
1,48,111,0
1,49,2024,0
1,50,4886,0
1,51,469,0
1,52,2106,0
1,53,81,0
1,54,76,0
1,55,1137,0
1,56,136,0
1,57,113,0
1,58,85,0
1,59,5898,0
1,60,105,0
1,61,120,0
1,62,51,0
1,63,2068,0
1,64,130,0
1,65,2085,0
1,66,6125,0
1,67,2066,0
1,68,122,0
1,69,1040,0
1,70,111,0
1,71,63,0
1,72,88,0
1,73,92,0
1,74,100,0
1,75,2090,0
1,76,21,0
1,77,121,0
1,78,23,0
1,79,71,0
1,80,107,0
1,81,20,0
1,82,79,0
1,83,76,0
1,84,66,0
1,85,47,0
1,86,5946,0
1,87,2032,0
1,88,23,0
1,89,102,0
1,90,1996,0
1,91,2003,0
1,92,129,0
1,93,1143,0
1,94,126,0
1,95,1948,0
1,96,82,0
1,97,23,0
1,98,111,0
1,99,23,0
1,100,48,0
1,101,60,0
1,102,48,0
1,103,130,0
1,104,5988,0
1,105,22,0
1,106,2015,0
1,107,21,0
1,108,18,0
1,109,144,0
1,110,49,0
1,111,62,0
1,112,99,0
1,113,67,0
1,114,115,0
1,115,982,0
1,116,4908,0
1,117,160,0
1,118,1242,0
1,119,88,0
1,120,1111,0
1,121,71,0
1,122,94,0
1,123,1214,0
1,124,66,0
1,125,6504,0
1,126,6381,0
1,127,2088,0
1,128,1153,0
1,129,135,0
1,130,73,0
1,131,2095,0
1,132,1128,0
1,133,92,0
1,134,107,0
1,135,416,0
1,136,22,0
1,137,71,0
1,138,393,0
1,139,108,0
1,140,72,0
1,141,21,0
1,142,1971,0
1,143,95,0
1,144,1987,0
1,145,105,0
1,146,69,0
1,147,51,0
1,148,414,0
1,149,21,0
1,150,60,0
1,151,48,0
1,152,52,0
1,153,1983,0
1,154,1986,0
1,155,425,0
1,156,72,0
1,157,21,0
1,158,70,0
1,159,115,0
1,160,2027,0
1,161,112,0
1,162,72,0
1,163,22,0
1,164,5348,0
1,165,100,0
1,166,104,0
1,167,21,0
1,168,14,0
1,169,1987,0
1,170,88,0
1,171,66,0
1,172,64,0
1,173,21,0
1,174,370,0
1,175,51,0
1,176,47,0
1,177,19,0
1,178,63,0
1,179,1094,0
1,180,89,0
1,181,74,0
1,182,385,0
1,183,62,0
1,184,2023,0
1,185,72,0
1,186,19,0
1,187,6282,0
1,188,2043,0
1,189,140,0
1,190,2040,0
1,191,118,0
1,192,70,0
1,193,22,0
1,194,63,0
1,195,72,0
1,196,66,0
1,197,104,0
1,198,94,0
1,199,2078,0
1,200,94,0
1,201,21,0
1,202,113,0
1,203,85,0
1,204,409,0
1,205,22,0
1,206,5852,0
1,207,133,0
1,208,120,0
1,209,4893,0
1,210,116,0
1,211,50,0
1,212,47,0
1,213,1072,0
1,214,2011,0
1,215,99,0
1,216,1103,0
1,217,82,0
1,218,393,0
1,219,87,0
1,220,20,0
1,221,63,0
1,222,5778,0
1,223,95,0
1,224,63,0
1,225,22,0
1,226,15,0
1,227,65,0
1,228,2025,0
1,229,19,0
1,230,12,0
1,231,2064,0
1,232,482,0
1,233,70,0
1,234,375,0
1,235,1133,0
1,236,133,0
1,237,6029,0
1,238,134,0
1,239,74,0
1,240,68,0
1,241,2035,0
1,242,127,0
1,243,419,0
1,244,6206,0
1,245,128,0
1,246,1062,0
1,247,90,0
1,248,49,0
1,249,1069,0
1,250,87,0
1,251,2013,0
1,252,1998,0
1,253,87,0
1,254,405,0
1,255,6008,0
1,256,1122,0
1,257,113,0
1,258,23,0
1,259,2036,0
1,260,20,0
1,261,1051,0
1,262,66,0
1,263,105,0
