"Client Nr","Query Number","Execution time","Error"
1,1,27,0
1,2,144,0
1,3,347,0
1,4,8449,0
1,5,37,0
1,6,117,0
1,7,171,0
1,8,51,0
1,9,40,0
1,10,5462,0
1,11,50,0
1,12,43,0
1,13,109,0
1,14,63,0
1,15,7979,0
1,16,7360,0
1,17,49,0
1,18,127,0
1,19,9,0
1,20,7709,0
1,21,65,0
1,22,108,0
1,23,170,0
1,24,8657,0
1,25,37,0
1,26,321,0
1,27,50,0
1,28,16,0
1,29,65,0
1,30,45,0
1,31,16,0
1,32,43,0
1,33,16,0
1,34,13,0
1,35,13,0
1,36,16,0
1,37,6954,0
1,38,53,0
1,39,5502,0
1,40,40,0
1,41,321,0
1,42,7362,0
1,43,5489,0
1,44,63,0
1,45,7770,0
1,46,47,0
1,47,12,0
1,48,37,0
1,49,44,0
1,50,14,0
1,51,36,0
1,52,44,0
1,53,43,0
1,54,45,0
1,55,146,0
1,56,5497,0
1,57,20,0
1,58,10,0
1,59,12,0
1,60,39,0
1,61,12,0
1,62,32,0
1,63,33,0
1,64,38,0
1,65,32,0
1,66,35,0
1,67,42,0
1,68,35,0
1,69,130,0
1,70,14,0
1,71,33,0
1,72,10,0
1,73,37,0
1,74,9,0
1,75,314,0
1,76,34,0
1,77,35,0
1,78,33,0
1,79,13,0
1,80,42,0
1,81,6,0
1,82,9527,0
1,83,11,0
1,84,66,0
1,85,5522,0
1,86,13,0
1,87,7020,0
1,88,43,0
1,89,43,0
1,90,41,0
1,91,33,0
1,92,42,0
1,93,35,0
1,94,39,0
1,95,13,0
1,96,6831,0
1,97,319,0
1,98,12,0
1,99,34,0
1,100,8,0
1,101,7659,0
1,102,15,0
1,103,6760,0
1,104,51,0
1,105,10,0
1,106,113,0
1,107,44,0
1,108,14,0
1,109,117,0
1,110,36,0
1,111,305,0
1,112,43,0
1,113,47,0
1,114,135,0
1,115,45,0
1,116,48,0
1,117,7215,0
1,118,14,0
1,119,62,0
1,120,12,0
1,121,318,0
1,122,44,0
1,123,50,0
1,124,43,0
1,125,108,0
1,126,6513,0
1,127,6762,0
1,128,15,0
1,129,13,0
1,130,8741,0
1,131,330,0
1,132,311,0
1,133,6684,0
1,134,7328,0
1,135,5491,0
1,136,9,0
1,137,50,0
1,138,5491,0
1,139,7374,0
1,140,7322,0
1,141,136,0
1,142,6463,0
1,143,46,0
1,144,110,0
1,145,11,0
1,146,33,0
1,147,40,0
1,148,45,0
1,149,42,0
1,150,42,0
1,151,5509,0
1,152,6250,0
1,153,8702,0
1,154,5457,0
1,155,9,0
1,156,330,0
1,157,39,0
1,158,13,0
1,159,38,0
1,160,141,0
1,161,5482,0
1,162,65,0
1,163,19,0
1,164,42,0
1,165,39,0
1,166,36,0
1,167,43,0
1,168,12,0
1,169,36,0
1,170,38,0
1,171,47,0
1,172,42,0
1,173,41,0
1,174,8,0
1,175,38,0
1,176,110,0
1,177,55,0
1,178,43,0
1,179,38,0
1,180,45,0
1,181,64,0
1,182,52,0
1,183,46,0
1,184,40,0
1,185,105,0
1,186,47,0
1,187,47,0
1,188,41,0
1,189,43,0
1,190,11,0
1,191,6,0
1,192,5479,0
1,193,11,0
1,194,36,0
1,195,37,0
1,196,321,0
1,197,43,0
1,198,63,0
1,199,53,0
1,200,7016,0
1,201,5517,0
1,202,47,0
1,203,39,0
1,204,38,0
1,205,5448,0
1,206,50,0
1,207,50,0
1,208,319,0
1,209,6841,0
1,210,42,0
1,211,143,0
1,212,40,0
1,213,46,0
1,214,7700,0
1,215,5453,0
1,216,15,0
1,217,38,0
1,218,430,0
1,219,44,0
1,220,14,0
1,221,40,0
1,222,61,0
1,223,53,0
1,224,46,0
1,225,37,0
1,226,44,0
1,227,8985,0
1,228,8,0
1,229,40,0
1,230,7032,0
1,231,320,0
1,232,48,0
1,233,105,0
1,234,36,0
1,235,35,0
1,236,34,0
1,237,7,0
1,238,102,0
1,239,37,0
1,240,39,0
1,241,11,0
1,242,41,0
1,243,36,0
1,244,35,0
1,245,14,0
1,246,47,0
1,247,45,0
1,248,43,0
1,249,6337,0
1,250,314,0
1,251,46,0
1,252,16,0
1,253,6734,0
1,254,5475,0
1,255,48,0
1,256,39,0
1,257,35,0
1,258,122,0
1,259,172,0
1,260,41,0
1,261,34,0
1,262,317,0
1,263,36,0
1,264,50,0
1,265,44,0
1,266,17,0
1,267,14,0
1,268,35,0
1,269,35,0
1,270,5444,0
1,271,46,0
1,272,145,0
1,273,37,0
1,274,6783,0
1,275,20,0
1,276,33,0
1,277,319,0
1,278,63,0
1,279,53,0
1,280,43,0
1,281,5458,0
1,282,9,0
1,283,66,0
1,284,6646,0
1,285,7466,0
1,286,6339,0
1,287,42,0
1,288,6869,0
1,289,120,0
1,290,61,0
1,291,35,0
1,292,17,0
1,293,12,0
1,294,46,0
1,295,48,0
1,296,39,0
1,297,36,0
1,298,44,0
1,299,46,0
1,300,36,0
1,301,40,0
1,302,52,0
1,303,37,0
1,304,14,0
1,305,43,0
1,306,35,0
1,307,38,0
1,308,35,0
1,309,6876,0
1,310,18,0
1,311,40,0
1,312,11,0
1,313,66,0
1,314,49,0
1,315,17,0
1,316,335,0
1,317,36,0
1,318,5453,0
1,319,9332,0
1,320,322,0
1,321,47,0
1,322,14,0
1,323,45,0
1,324,44,0
1,325,36,0
1,326,44,0
1,327,35,0
1,328,44,0
1,329,37,0
1,330,34,0
1,331,42,0
1,332,44,0
1,333,8,0
1,334,10,0
1,335,318,0
1,336,44,0
1,337,137,0
1,338,45,0
1,339,45,0
1,340,321,0
1,341,101,0
1,342,41,0
1,343,5471,0
1,344,7638,0
1,345,7747,0
1,346,38,0
1,347,63,0
1,348,6751,0
1,349,6529,0
1,350,19,0
1,351,13,0
1,352,34,0
1,353,158,0
1,354,8194,0
1,355,126,0
1,356,64,0
1,357,109,0
1,358,41,0
1,359,5481,0
1,360,16,0
1,361,45,0
1,362,35,0
1,363,40,0
1,364,34,0
1,365,320,0
1,366,115,0
1,367,8060,0
1,368,11,0
1,369,39,0
1,370,46,0
1,371,35,0
1,372,36,0
1,373,46,0
1,374,5465,0
1,375,15,0
1,376,5486,0
1,377,67,0
1,378,46,0
1,379,13,0
1,380,10,0
1,381,136,0
1,382,45,0
1,383,40,0
1,384,43,0
1,385,318,0
1,386,46,0
1,387,44,0
1,388,43,0
1,389,38,0
1,390,12,0
1,391,6326,0
1,392,5470,0
1,393,37,0
1,394,47,0
1,395,440,0
1,396,68,0
1,397,51,0
1,398,36,0
1,399,7127,0
1,400,38,0
1,401,7119,0
1,402,12,0
1,403,36,0
1,404,65,0
1,405,40,0
1,406,15,0
1,407,11,0
1,408,5525,0
1,409,36,0
1,410,11,0
1,411,38,0
1,412,20,0
1,413,44,0
1,414,38,0
1,415,46,0
1,416,9,0
1,417,10,0
1,418,40,0
1,419,7244,0
1,420,42,0
1,421,5695,0
1,422,41,0
1,423,315,0
1,424,8,0
1,425,48,0
1,426,40,0
1,427,6327,0
1,428,110,0
1,429,35,0
1,430,11,0
1,431,7,0
1,432,143,0
1,433,36,0
1,434,42,0
1,435,33,0
1,436,6491,0
1,437,35,0
1,438,12,0
1,439,39,0
1,440,9095,0
1,441,5475,0
1,442,15,0
1,443,36,0
1,444,112,0
1,445,37,0
1,446,6406,0
1,447,16,0
1,448,7340,0
1,449,5494,0
1,450,36,0
1,451,47,0
1,452,35,0
1,453,47,0
1,454,6716,0
1,455,45,0
1,456,40,0
1,457,35,0
1,458,466,0
1,459,64,0
1,460,44,0
1,461,45,0
1,462,14,0
1,463,6316,0
1,464,17,0
1,465,46,0
1,466,452,0
1,467,46,0
1,468,5585,0
1,469,36,0
1,470,38,0
1,471,37,0
1,472,112,0
1,473,319,0
1,474,40,0
1,475,34,0
1,476,323,0
1,477,44,0
1,478,49,0
1,479,46,0
1,480,6852,0
1,481,64,0
1,482,326,0
1,483,37,0
1,484,39,0
1,485,42,0
1,486,5497,0
1,487,40,0
1,488,12,0
1,489,42,0
