"Client Nr","Query Number","Execution time","Error"
1,1,8022,0
1,2,73,0
1,3,21,0
1,4,34,0
1,5,78,0
1,6,21,0
1,7,136,0
1,8,6856,0
1,9,40,0
1,10,15,0
1,11,13,0
1,12,69,0
1,13,7638,0
1,14,152,0
1,15,5833,0
1,16,114,0
1,17,14,0
1,18,11,0
1,19,136,0
1,20,15,0
1,21,39,0
1,22,34,0
1,23,32,0
1,24,113,0
1,25,17,0
1,26,7936,0
1,27,124,0
1,28,82,0
1,29,14,0
1,30,5767,0
1,31,42,0
1,32,46,0
1,33,19,0
1,34,6898,0
1,35,12,0
1,36,85,0
1,37,6640,0
1,38,9700,0
1,39,79,0
1,40,39,0
1,41,12,0
1,42,5787,0
1,43,48,0
1,44,123,0
1,45,21,0
1,46,65,0
1,47,48,0
1,48,154,0
1,49,44,0
1,50,53,0
1,51,5795,0
1,52,39,0
1,53,50,0
1,54,53,0
1,55,55,0
1,56,69,0
1,57,24,0
1,58,49,0
1,59,16,0
1,60,36,0
1,61,12,0
1,62,42,0
1,63,44,0
1,64,36,0
1,65,34,0
1,66,149,0
1,67,100,0
1,68,16,0
1,69,44,0
1,70,164,0
1,71,62,0
1,72,5844,0
1,73,88,0
1,74,40,0
1,75,14,0
1,76,13,0
1,77,39,0
1,78,104,0
1,79,11,0
1,80,91,0
1,81,16,0
1,82,10,0
1,83,15,0
1,84,38,0
1,85,5896,0
1,86,6958,0
1,87,150,0
1,88,6504,0
1,89,13,0
1,90,6035,0
1,91,51,0
1,92,6505,0
1,93,35,0
1,94,141,0
1,95,176,0
1,96,85,0
1,97,5812,0
1,98,47,0
1,99,71,0
1,100,6412,0
1,101,40,0
1,102,8405,0
1,103,12,0
1,104,7,0
1,105,7026,0
1,106,46,0
1,107,14,0
1,108,92,0
1,109,48,0
1,110,49,0
1,111,58,0
1,112,15,0
1,113,30,0
1,114,8212,0
1,115,12,0
1,116,39,0
1,117,36,0
1,118,85,0
1,119,50,0
1,120,8064,0
1,121,11,0
1,122,10,0
1,123,6,0
1,124,171,0
1,125,52,0
1,126,38,0
1,127,10,0
1,128,7160,0
1,129,21,0
1,130,51,0
1,131,15,0
1,132,12,0
1,133,83,0
1,134,40,0
1,135,38,0
1,136,40,0
1,137,14,0
1,138,7068,0
1,139,39,0
1,140,15,0
1,141,38,0
1,142,6567,0
1,143,39,0
1,144,44,0
1,145,6667,0
1,146,40,0
1,147,78,0
1,148,36,0
1,149,10,0
1,150,147,0
1,151,114,0
1,152,64,0
1,153,58,0
1,154,16,0
1,155,13,0
1,156,14,0
1,157,46,0
1,158,37,0
1,159,52,0
1,160,54,0
1,161,50,0
1,162,49,0
1,163,9,0
1,164,49,0
1,165,8013,0
1,166,14,0
1,167,146,0
1,168,58,0
1,169,6669,0
1,170,54,0
1,171,34,0
1,172,6433,0
1,173,66,0
1,174,24,0
1,175,5848,0
1,176,39,0
1,177,8243,0
1,178,52,0
1,179,14,0
1,180,37,0
1,181,133,0
1,182,44,0
1,183,40,0
1,184,12,0
1,185,10,0
1,186,40,0
1,187,80,0
1,188,11,0
1,189,11,0
1,190,49,0
1,191,10808,0
1,192,11,0
1,193,9248,0
1,194,5840,0
1,195,119,0
1,196,16,0
1,197,10,0
1,198,55,0
1,199,8017,0
1,200,165,0
1,201,58,0
1,202,6394,0
1,203,10,0
1,204,5856,0
1,205,43,0
1,206,91,0
1,207,50,0
1,208,11,0
1,209,8035,0
1,210,142,0
1,211,6448,0
1,212,53,0
1,213,14,0
1,214,74,0
1,215,16,0
1,216,5809,0
1,217,12,0
1,218,7615,0
1,219,164,0
1,220,46,0
1,221,45,0
1,222,7745,0
1,223,36,0
1,224,33,0
1,225,78,0
1,226,13,0
1,227,7440,0
1,228,5854,0
1,229,74,0
1,230,53,0
1,231,5821,0
1,232,36,0
1,233,38,0
1,234,120,0
1,235,7931,0
1,236,14,0
1,237,7344,0
1,238,13,0
1,239,5858,0
1,240,52,0
1,241,40,0
1,242,15,0
1,243,33,0
1,244,45,0
1,245,91,0
1,246,61,0
1,247,44,0
1,248,7315,0
1,249,39,0
1,250,123,0
1,251,165,0
1,252,35,0
1,253,6654,0
1,254,72,0
1,255,6786,0
1,256,18,0
1,257,37,0
1,258,48,0
1,259,33,0
1,260,9161,0
1,261,15,0
1,262,46,0
1,263,44,0
1,264,43,0
1,265,10,0
1,266,49,0
1,267,6427,0
1,268,17,0
1,269,9066,0
1,270,93,0
1,271,12,0
1,272,6,0
1,273,6447,0
1,274,7591,0
1,275,6939,0
