"Client Nr","Query Number","Execution time","Error"
1,1,122,0
1,2,78,0
1,3,66,0
1,4,62,0
1,5,63,0
1,6,67,0
1,7,64,0
1,8,77,0
1,9,63,0
1,10,64,0
1,11,61,0
1,12,62,0
1,13,59,0
1,14,69,0
1,15,63,0
1,16,61,0
1,17,58,0
1,18,65,0
1,19,60,0
1,20,68,0
1,21,68,0
1,22,61,0
1,23,55,0
1,24,60,0
1,25,59,0
1,26,60,0
1,27,56,0
1,28,57,0
1,29,68,0
1,30,62,0
1,31,59,0
1,32,69,0
1,33,62,0
1,34,61,0
1,35,60,0
1,36,63,0
1,37,61,0
1,38,60,0
1,39,62,0
1,40,65,0
1,41,62,0
1,42,61,0
1,43,61,0
1,44,60,0
1,45,61,0
1,46,59,0
1,47,56,0
1,48,63,0
1,49,62,0
1,50,58,0
1,51,62,0
1,52,62,0
1,53,63,0
1,54,58,0
1,55,63,0
1,56,62,0
1,57,65,0
1,58,61,0
1,59,62,0
1,60,60,0
1,61,56,0
1,62,62,0
1,63,58,0
1,64,59,0
1,65,56,0
1,66,61,0
1,67,59,0
1,68,59,0
1,69,59,0
1,70,61,0
1,71,64,0
1,72,56,0
1,73,55,0
1,74,58,0
1,75,55,0
1,76,60,0
1,77,58,0
1,78,64,0
1,79,58,0
1,80,63,0
1,81,67,0
1,82,55,0
1,83,64,0
1,84,62,0
1,85,62,0
1,86,60,0
1,87,60,0
1,88,61,0
1,89,65,0
1,90,60,0
1,91,61,0
1,92,60,0
1,93,63,0
1,94,57,0
1,95,60,0
1,96,56,0
1,97,57,0
1,98,54,0
1,99,60,0
1,100,56,0
1,101,59,0
1,102,57,0
1,103,58,0
1,104,57,0
1,105,63,0
1,106,56,0
1,107,63,0
1,108,53,0
1,109,61,0
1,110,55,0
1,111,63,0
1,112,64,0
1,113,59,0
1,114,63,0
1,115,59,0
1,116,58,0
1,117,56,0
1,118,59,0
1,119,57,0
1,120,59,0
1,121,59,0
1,122,62,0
1,123,57,0
1,124,61,0
1,125,58,0
1,126,57,0
1,127,57,0
1,128,63,0
1,129,61,0
1,130,59,0
1,131,56,0
1,132,57,0
1,133,59,0
1,134,56,0
1,135,66,0
1,136,59,0
1,137,59,0
1,138,55,0
1,139,54,0
1,140,61,0
1,141,62,0
1,142,60,0
1,143,55,0
1,144,54,0
1,145,58,0
1,146,56,0
1,147,60,0
1,148,54,0
1,149,63,0
1,150,56,0
1,151,64,0
1,152,55,0
1,153,61,0
1,154,56,0
1,155,61,0
1,156,61,0
1,157,58,0
1,158,55,0
1,159,55,0
1,160,56,0
1,161,57,0
1,162,55,0
1,163,64,0
1,164,66,0
1,165,65,0
1,166,60,0
1,167,56,0
1,168,58,0
1,169,56,0
1,170,66,0
1,171,59,0
1,172,61,0
1,173,61,0
1,174,61,0
1,175,61,0
1,176,58,0
1,177,56,0
1,178,62,0
1,179,57,0
1,180,61,0
1,181,56,0
1,182,61,0
1,183,55,0
1,184,59,0
1,185,58,0
1,186,63,0
1,187,62,0
1,188,57,0
1,189,63,0
1,190,58,0
1,191,67,0
1,192,57,0
1,193,55,0
1,194,55,0
1,195,60,0
1,196,56,0
1,197,59,0
1,198,61,0
1,199,60,0
1,200,57,0
1,201,61,0
1,202,56,0
1,203,59,0
1,204,55,0
1,205,63,0
1,206,63,0
1,207,58,0
1,208,57,0
1,209,61,0
1,210,52,0
1,211,61,0
1,212,59,0
1,213,59,0
1,214,58,0
1,215,62,0
1,216,57,0
1,217,62,0
1,218,55,0
1,219,61,0
1,220,57,0
1,221,60,0
1,222,54,0
1,223,60,0
1,224,62,0
1,225,57,0
1,226,61,0
1,227,62,0
1,228,59,0
1,229,62,0
1,230,61,0
1,231,60,0
1,232,58,0
1,233,55,0
1,234,66,0
1,235,60,0
1,236,61,0
1,237,60,0
