"Client Nr","Query Number","Execution time","Error"
1,1,88,0
1,2,50,0
1,3,48,0
1,4,49,0
1,5,51,0
1,6,46,0
1,7,52,0
1,8,48,0
1,9,54,0
1,10,46,0
1,11,55,0
1,12,45,0
1,13,57,0
1,14,69,0
1,15,50,0
1,16,49,0
1,17,48,0
1,18,58,0
1,19,52,0
1,20,55,0
1,21,47,0
1,22,50,0
1,23,47,0
1,24,53,0
1,25,45,0
1,26,53,0
1,27,51,0
1,28,50,0
1,29,45,0
1,30,58,0
1,31,51,0
1,32,58,0
1,33,48,0
1,34,54,0
1,35,45,0
1,36,51,0
1,37,45,0
1,38,54,0
1,39,49,0
1,40,55,0
1,41,49,0
1,42,50,0
1,43,46,0
1,44,56,0
1,45,49,0
1,46,53,0
1,47,46,0
1,48,53,0
1,49,48,0
1,50,53,0
1,51,44,0
1,52,55,0
1,53,47,0
1,54,52,0
1,55,47,0
1,56,57,0
1,57,65,0
1,58,49,0
1,59,50,0
1,60,46,0
1,61,45,0
1,62,47,0
1,63,45,0
1,64,51,0
1,65,43,0
1,66,51,0
1,67,48,0
1,68,51,0
1,69,46,0
1,70,51,0
1,71,46,0
1,72,54,0
1,73,44,0
1,74,55,0
1,75,46,0
1,76,55,0
1,77,48,0
1,78,53,0
1,79,47,0
1,80,49,0
1,81,48,0
1,82,51,0
1,83,51,0
1,84,54,0
1,85,50,0
1,86,50,0
1,87,51,0
1,88,50,0
1,89,47,0
1,90,50,0
1,91,48,0
1,92,53,0
1,93,50,0
1,94,47,0
1,95,43,0
1,96,55,0
1,97,50,0
1,98,52,0
1,99,45,0
1,100,54,0
1,101,45,0
1,102,54,0
1,103,47,0
1,104,57,0
1,105,50,0
1,106,48,0
1,107,43,0
1,108,59,0
1,109,50,0
1,110,57,0
1,111,47,0
1,112,51,0
1,113,43,0
1,114,57,0
1,115,45,0
1,116,54,0
1,117,47,0
1,118,55,0
1,119,68,0
1,120,53,0
1,121,46,0
1,122,46,0
1,123,53,0
1,124,47,0
1,125,54,0
1,126,46,0
1,127,51,0
1,128,48,0
1,129,52,0
1,130,50,0
1,131,51,0
1,132,47,0
1,133,55,0
1,134,49,0
1,135,50,0
1,136,49,0
1,137,50,0
1,138,47,0
1,139,52,0
1,140,47,0
1,141,53,0
1,142,51,0
1,143,49,0
1,144,49,0
1,145,51,0
1,146,48,0
1,147,52,0
1,148,47,0
1,149,52,0
1,150,49,0
1,151,54,0
1,152,47,0
1,153,58,0
1,154,45,0
1,155,52,0
1,156,51,0
1,157,48,0
1,158,46,0
1,159,52,0
1,160,46,0
1,161,52,0
1,162,48,0
1,163,55,0
1,164,55,0
1,165,50,0
1,166,45,0
1,167,49,0
1,168,46,0
1,169,52,0
1,170,52,0
1,171,48,0
1,172,46,0
1,173,52,0
1,174,45,0
1,175,55,0
1,176,48,0
1,177,53,0
1,178,49,0
1,179,53,0
1,180,46,0
1,181,52,0
1,182,52,0
1,183,47,0
1,184,46,0
1,185,56,0
1,186,48,0
1,187,43,0
1,188,46,0
1,189,46,0
1,190,48,0
1,191,44,0
1,192,56,0
1,193,44,0
1,194,52,0
1,195,44,0
1,196,52,0
1,197,44,0
1,198,55,0
1,199,47,0
1,200,55,0
1,201,46,0
1,202,51,0
1,203,47,0
1,204,53,0
1,205,44,0
1,206,53,0
1,207,46,0
1,208,56,0
1,209,45,0
1,210,52,0
1,211,44,0
1,212,56,0
1,213,47,0
1,214,54,0
1,215,43,0
1,216,58,0
1,217,44,0
1,218,55,0
1,219,45,0
1,220,54,0
1,221,53,0
1,222,50,0
1,223,42,0
1,224,59,0
1,225,45,0
1,226,55,0
1,227,46,0
1,228,50,0
1,229,44,0
1,230,54,0
1,231,46,0
1,232,59,0
1,233,44,0
1,234,49,0
1,235,44,0
1,236,56,0
1,237,44,0
1,238,56,0
1,239,43,0
1,240,57,0
1,241,48,0
1,242,55,0
1,243,46,0
