"Client Nr","Query Number","Execution time","Error"
1,1,76,0
1,2,47,0
1,3,44,0
1,4,45,0
1,5,42,0
1,6,39,0
1,7,39,0
1,8,43,0
1,9,42,0
1,10,41,0
1,11,37,0
1,12,39,0
1,13,41,0
1,14,39,0
1,15,34,0
1,16,37,0
1,17,34,0
1,18,35,0
1,19,36,0
1,20,36,0
1,21,37,0
1,22,37,0
1,23,39,0
1,24,39,0
1,25,36,0
1,26,33,0
1,27,35,0
1,28,36,0
1,29,34,0
1,30,34,0
1,31,34,0
1,32,34,0
1,33,36,0
1,34,35,0
1,35,33,0
1,36,38,0
1,37,37,0
1,38,36,0
1,39,35,0
1,40,37,0
1,41,36,0
1,42,35,0
1,43,36,0
1,44,40,0
1,45,35,0
1,46,36,0
1,47,40,0
1,48,40,0
1,49,35,0
1,50,36,0
1,51,36,0
1,52,33,0
1,53,36,0
1,54,36,0
1,55,37,0
1,56,35,0
1,57,36,0
1,58,37,0
1,59,36,0
1,60,34,0
1,61,36,0
1,62,33,0
1,63,35,0
1,64,39,0
1,65,39,0
1,66,41,0
1,67,37,0
1,68,34,0
1,69,32,0
1,70,37,0
1,71,31,0
1,72,35,0
1,73,31,0
1,74,38,0
1,75,37,0
1,76,37,0
1,77,37,0
1,78,36,0
1,79,38,0
1,80,32,0
1,81,37,0
1,82,32,0
1,83,36,0
1,84,45,0
1,85,34,0
1,86,37,0
1,87,34,0
1,88,34,0
1,89,36,0
1,90,37,0
1,91,35,0
1,92,35,0
1,93,44,0
1,94,34,0
1,95,33,0
1,96,35,0
1,97,36,0
1,98,38,0
1,99,37,0
1,100,36,0
1,101,37,0
1,102,42,0
1,103,37,0
1,104,36,0
1,105,34,0
1,106,36,0
1,107,36,0
1,108,36,0
1,109,34,0
1,110,33,0
1,111,35,0
1,112,32,0
1,113,34,0
1,114,36,0
1,115,32,0
1,116,37,0
1,117,34,0
1,118,37,0
1,119,36,0
1,120,35,0
1,121,34,0
1,122,33,0
1,123,37,0
1,124,34,0
1,125,37,0
1,126,35,0
1,127,35,0
1,128,35,0
1,129,31,0
1,130,32,0
1,131,37,0
1,132,34,0
1,133,34,0
1,134,31,0
1,135,32,0
1,136,35,0
1,137,37,0
1,138,33,0
1,139,33,0
1,140,36,0
1,141,35,0
1,142,39,0
1,143,42,0
1,144,36,0
1,145,37,0
1,146,35,0
1,147,34,0
1,148,36,0
1,149,35,0
1,150,37,0
1,151,35,0
1,152,35,0
1,153,39,0
1,154,35,0
1,155,35,0
1,156,33,0
