"Client Nr","Query Number","Execution time","Error"
1,1,71,0
1,2,283,0
1,3,18,0
1,4,101,0
1,5,3060,0
1,6,88,0
1,7,46,0
1,8,1710,0
1,9,801,0
1,10,60,0
1,11,4923,0
1,12,1690,0
1,13,22,0
1,14,128,0
1,15,98,0
1,16,47,0
1,17,48,0
1,18,306,0
1,19,19,0
1,20,90,0
1,21,3561,0
1,22,120,0
1,23,57,0
1,24,1642,0
1,25,755,0
1,26,60,0
1,27,4910,0
1,28,1674,0
1,29,37,0
1,30,160,0
1,31,123,0
1,32,46,0
1,33,43,0
1,34,304,0
1,35,20,0
1,36,94,0
1,37,2968,0
1,38,95,0
1,39,61,0
1,40,1637,0
1,41,712,0
1,42,4839,0
1,43,84,0
1,44,232,0
1,45,25,0
1,46,69,0
1,47,3328,0
1,48,104,0
1,49,62,0
1,50,1608,0
1,51,738,0
1,52,1684,0
1,53,4698,0
1,54,1647,0
1,55,118,0
1,56,134,0
1,57,118,0
1,58,46,0
1,59,46,0
1,60,20,0
1,61,123,0
1,62,109,0
1,63,46,0
1,64,43,0
1,65,65,0
1,66,247,0
1,67,19,0
1,68,86,0
1,69,3541,0
1,70,97,0
1,71,58,0
1,72,1590,0
1,73,781,0
