"Client Nr","Query Index","Execution time","Error"
1,1,104,0
1,2,289,0
1,3,20,0
1,4,105,0
1,5,2977,0
1,6,122,0
1,7,60,0
1,8,1606,0
1,9,763,0
1,10,60,0
1,11,4941,0
1,12,1717,0
1,13,21,0
1,14,122,0
1,15,97,0
1,16,46,0
1,17,56,0
1,18,260,0
1,19,17,0
1,20,84,0
1,21,3519,0
1,22,98,0
1,23,60,0
1,24,1630,0
1,25,735,0
1,26,56,0
1,27,5157,0
1,28,1661,0
1,29,22,0
1,30,123,0
1,31,103,0
1,32,46,0
1,33,45,0
1,34,264,0
1,35,17,0
1,36,91,0
1,37,2904,0
1,38,96,0
1,39,57,0
1,40,1651,0
1,41,717,0
1,42,4581,0
1,43,78,0
1,44,264,0
1,45,17,0
1,46,76,0
1,47,3055,0
1,48,95,0
1,49,57,0
1,50,1605,0
1,51,690,0
1,52,1693,0
1,53,4622,0
1,54,1645,0
1,55,112,0
1,56,91,0
1,57,96,0
1,58,48,0
1,59,60,0
1,60,23,0
1,61,93,0
1,62,101,0
1,63,46,0
1,64,43,0
1,65,56,0
1,66,273,0
1,67,17,0
1,68,85,0
1,69,3576,0
1,70,90,0
1,71,57,0
1,72,1542,0
1,73,810,0
