Client Nr,Query Number,Execution time,Error
1,1,63,0
1,2,4713,0
1,3,1589,0
1,4,250,0
1,5,32,0
1,6,4709,0
1,7,4629,0
1,8,56,0
1,9,50,0
1,10,213,0
1,11,86,0
1,12,49,0
1,13,4723,0
1,14,65,0
1,15,257,0
1,16,221,0
1,17,69,0
1,18,4810,0
1,19,34,0
1,20,262,0
1,21,1606,0
1,22,4758,0
1,23,4624,0
1,24,241,0
1,25,46,0
1,26,1568,0
1,27,50,0
1,28,19,0
1,29,1627,0
1,30,1627,0
1,31,20,0
1,32,1660,0
1,33,21,0
1,34,10,0
1,35,16,0
1,36,14,0
1,37,4200,0
1,38,75,0
1,39,210,0
1,40,36,0
1,41,1654,0
1,42,4200,0
1,43,212,0
1,44,1685,0
1,45,4200,0
1,46,57,0
1,47,19,0
1,48,28,0
1,49,72,0
1,50,21,0
1,51,38,0
1,52,28,0
1,53,46,0
1,54,47,0
1,55,78,0
1,56,279,0
1,57,19,0
1,58,12,0
1,59,11,0
1,60,38,0
1,61,18,0
1,62,29,0
1,63,26,0
1,64,44,0
1,65,27,0
1,66,49,0
1,67,61,0
1,68,29,0
1,69,4672,0
1,70,21,0
1,71,29,0
1,72,18,0
1,73,50,0
1,74,15,0
1,75,1643,0
1,76,48,0
1,77,36,0
1,78,29,0
1,79,16,0
1,80,53,0
1,81,27,0
1,82,301,0
1,83,30,0
1,84,1662,0
1,85,222,0
1,86,19,0
1,87,4200,0
1,88,62,0
1,89,52,0
1,90,66,0
1,91,31,0
1,92,44,0
1,93,58,0
1,94,57,0
1,95,18,0
1,96,4200,0
1,97,1641,0
1,98,17,0
1,99,38,0
1,100,32,0
1,101,246,0
1,102,16,0
1,103,4200,0
1,104,61,0
1,105,30,0
1,106,4899,0
1,107,62,0
1,108,19,0
1,109,4787,0
1,110,41,0
1,111,1574,0
1,112,51,0
1,113,71,0
1,114,4731,0
1,115,52,0
1,116,63,0
1,117,4200,0
1,118,19,0
1,119,1613,0
1,120,30,0
1,121,1589,0
1,122,1609,0
1,123,72,0
1,124,55,0
1,125,4746,0
1,126,4200,0
1,127,4200,0
1,128,17,0
1,129,9,0
1,130,282,0
1,131,1625,0
1,132,1651,0
1,133,215,0
1,134,4200,0
1,135,213,0
1,136,39,0
1,137,64,0
1,138,214,0
1,139,4200,0
1,140,4200,0
1,141,5008,0
1,142,4200,0
1,143,53,0
1,144,4864,0
1,145,32,0
1,146,25,0
1,147,69,0
1,148,50,0
1,149,1696,0
1,150,1721,0
1,151,244,0
1,152,4200,0
1,153,246,0
1,154,251,0
1,155,31,0
1,156,1547,0
1,157,43,0
1,158,18,0
1,159,38,0
1,160,4675,0
1,161,250,0
1,162,1663,0
1,163,18,0
1,164,30,0
1,165,25,0
1,166,29,0
1,167,1620,0
1,168,16,0
1,169,28,0
1,170,50,0
1,171,46,0
1,172,56,0
1,173,44,0
1,174,33,0
1,175,34,0
1,176,4730,0
1,177,58,0
1,178,1622,0
1,179,44,0
1,180,1629,0
1,181,1637,0
1,182,51,0
1,183,48,0
1,184,33,0
1,185,4736,0
1,186,71,0
1,187,51,0
1,188,52,0
1,189,47,0
1,190,16,0
1,191,29,0
1,192,239,0
1,193,16,0
1,194,41,0
1,195,26,0
1,196,1645,0
1,197,47,0
1,198,1640,0
1,199,53,0
1,200,4200,0
1,201,232,0
1,202,49,0
1,203,35,0
1,204,42,0
1,205,204,0
1,206,81,0
1,207,62,0
1,208,1650,0
1,209,218,0
1,210,58,0
1,211,4803,0
1,212,32,0
1,213,1648,0
1,214,241,0
1,215,214,0
1,216,20,0
1,217,29,0
1,218,1637,0
1,219,67,0
1,220,20,0
1,221,46,0
