Client Nr,Query Number,Execution time,Error,,
1,1,125,0,100614,125
1,2,94,0,10114,94
1,3,86,0,101513,86
1,4,274,0,101702,274
1,5,92,0,101914,92
1,6,1584,0,102111,1584
1,7,84,0,10213,84
1,8,22,0,103112,22
1,9,28,0,104815,28
1,10,1590,0,105108,1590
1,11,50,0,106407,50
1,12,4685,0,106710,4685
1,13,61,0,107813,61
1,14,3056,0,108105,3056
1,15,40,0,108415,40
1,16,79,0,108913,79
1,17,22,0,109112,22
1,18,15,0,109412,15
1,19,1619,0,109511,1619
1,20,3344,0,109605,3344
1,21,4932,0,109810,4932
1,22,50,0,110116,50
1,23,833,0,110509,833
1,24,4616,0,110710,4616
1,25,126,0,111013,126
1,26,19,0,111503,19
1,27,61,0,111607,61
1,28,4682,0,112110,4682
1,29,95,0,112307,95
1,30,102,0,112614,102
1,31,60,0,113301,60
1,32,106,0,114814,106
1,33,46,0,115215,46
1,34,65,0,115615,65
1,35,4683,0,115910,4683
1,36,21,0,116212,21
1,37,265,0,116502,265
1,38,4674,0,116710,4674
1,39,1609,0,116911,1609
1,40,82,0,117007,82
1,41,695,0,117309,695
1,42,113,0,117514,113
1,43,60,0,118401,60
1,44,68,0,11906,68
1,45,21,0,119212,21
1,46,3214,0,119405,3214
1,47,97,0,119507,97
1,48,96,0,119614,96
1,49,1593,0,119808,1593
1,50,3246,0,119905,3246
1,51,339,0,120102,339
1,52,1647,0,120811,1647
1,53,76,0,121115,76
1,54,78,0,121307,78
1,55,767,0,121509,767
1,56,91,0,121714,91
1,57,88,0,122014,88
1,58,75,0,122106,75
1,59,4559,0,122310,4559
1,60,104,0,122507,104
1,61,105,0,122813,105
1,62,48,0,122916,48
1,63,1615,0,123411,1615
1,64,115,0,124114,115
1,65,1633,0,124911,1633
1,66,4761,0,125010,4761
1,67,1638,0,126211,1638
1,68,117,0,126404,117
1,69,703,0,127009,703
1,70,96,0,127314,96
1,71,60,0,127401,60
1,72,71,0,127506,71
1,73,92,0,12904,92
1,74,82,0,129404,82
1,75,1645,0,129611,1645
1,76,20,0,129712,20
1,77,111,0,129804,111
1,78,21,0,129912,21
1,79,65,0,13001,65
1,80,85,0,131113,85
1,81,17,0,131403,17
1,82,73,0,132306,73
1,83,69,0,132906,69
1,84,58,0,133001,58
1,85,43,0,13315,43
1,86,4832,0,133510,4832
1,87,1648,0,133708,1648
1,88,21,0,134012,21
1,89,86,0,134406,86
1,90,1663,0,134808,1663
1,91,1662,0,135111,1662
1,92,114,0,135414,114
1,93,781,0,13709,781
1,94,93,0,137213,93
1,95,1667,0,13808,1667
1,96,86,0,138501,86
1,97,20,0,139012,20
1,98,95,0,139513,95
1,99,20,0,139812,20
1,100,46,0,14016,46
1,101,67,0,140201,67
1,102,44,0,140916,44
1,103,98,0,141913,98
1,104,4871,0,143910,4871
1,105,18,0,144503,18
1,106,1652,0,144608,1652
1,107,22,0,144912,22
1,108,14,0,145812,14
1,109,115,0,146313,115
1,110,45,0,146916,45
1,111,61,0,148007,61
1,112,98,0,148114,98
1,113,59,0,148801,59
1,114,87,0,149014,87
1,115,709,0,149409,709
1,116,3140,0,149705,3140
1,117,122,0,149912,122
1,118,864,0,150409,864
1,119,60,0,15107,60
1,120,731,0,151309,731
1,121,48,0,151416,48
1,122,81,0,151904,81
1,123,762,0,152009,762
1,124,49,0,152115,49
1,125,4748,0,152210,4748
1,126,4678,0,152610,4678
1,127,1615,0,152808,1615
1,128,819,0,153109,819
1,129,94,0,153414,94
1,130,71,0,154906,71
1,131,1647,0,155111,1647
1,132,738,0,155309,738
1,133,62,0,155401,62
1,134,94,0,156414,94
1,135,299,0,156702,299
1,136,17,0,15703,17
1,137,59,0,157307,59
1,138,233,0,157702,233
1,139,99,0,15813,99
1,140,61,0,159206,61
1,141,19,0,159312,19
1,142,1670,0,159608,1670
1,143,96,0,16006,96
1,144,1656,0,160111,1656
1,145,104,0,160404,104
1,146,58,0,160707,58
1,147,43,0,160915,43
1,148,280,0,161102,280
1,149,19,0,161303,19
1,150,56,0,162301,56
1,151,43,0,163816,43
1,152,42,0,164115,42
1,153,1658,0,164508,1658
1,154,1676,0,165111,1676
1,155,256,0,165402,256
1,156,74,0,165907,74
1,157,17,0,166203,17
1,158,61,0,166507,61
1,159,87,0,166813,87
1,160,1677,0,167108,1677
1,161,110,0,167404,110
1,162,60,0,168101,60
1,163,18,0,168203,18
1,164,3140,0,168305,3140
1,165,88,0,169007,88
1,166,80,0,169504,80
1,167,20,0,169712,20
1,168,15,0,170403,15
1,169,1591,0,171108,1591
1,170,76,0,171401,76
1,171,59,0,171501,59
1,172,61,0,171601,61
1,173,21,0,171912,21
1,174,225,0,17202,225
1,175,60,0,172215,60
1,176,45,0,172616,45
1,177,22,0,172812,22
1,178,57,0,174101,57
1,179,768,0,174309,768
