"Client Nr","Query Number","Execution time","Error"
1,1,143,0
1,2,1638,0
1,3,33,0
1,4,82,0
1,5,74,0
1,6,19,0
1,7,4587,0
1,8,20,0
1,9,807,0
1,10,70,0
1,11,57,0
1,12,3269,0
1,13,79,0
1,14,63,0
1,15,344,0
1,16,4917,0
1,17,3566,0
1,18,148,0
1,19,115,0
1,20,69,0
1,21,48,0
1,22,1576,0
1,23,1599,0
1,24,302,0
1,25,74,0
1,26,105,0
1,27,94,0
1,28,89,0
1,29,57,0
1,30,98,0
1,31,70,0
1,32,1662,0
1,33,113,0
1,34,60,0
1,35,86,0
1,36,51,0
1,37,93,0
1,38,86,0
1,39,1634,0
1,40,134,0
1,41,4692,0
1,42,115,0
1,43,78,0
1,44,104,0
1,45,107,0
1,46,21,0
1,47,4810,0
1,48,1711,0
1,49,74,0
1,50,749,0
1,51,1640,0
1,52,120,0
1,53,76,0
1,54,295,0
1,55,76,0
1,56,48,0
1,57,66,0
1,58,748,0
1,59,785,0
1,60,100,0
1,61,65,0
1,62,112,0
1,63,52,0
1,64,62,0
1,65,46,0
1,66,4777,0
1,67,1685,0
1,68,128,0
1,69,20,0
1,70,3301,0
1,71,28,0
1,72,67,0
1,73,775,0
1,74,4800,0
1,75,78,0
1,76,21,0
1,77,74,0
1,78,1674,0
1,79,301,0
1,80,58,0
1,81,20,0
1,82,112,0
1,83,1630,0
1,84,4623,0
1,85,257,0
1,86,1624,0
1,87,23,0
1,88,95,0
1,89,107,0
1,90,767,0
1,91,3353,0
1,92,133,0
1,93,107,0
1,94,301,0
1,95,26,0
1,96,4834,0
1,97,132,0
1,98,1592,0
1,99,1599,0
1,100,103,0
1,101,96,0
1,102,20,0
1,103,84,0
1,104,95,0
1,105,62,0
1,106,47,0
1,107,17,0
1,108,3036,0
1,109,80,0
1,110,4678,0
1,111,74,0
1,112,46,0
1,113,1659,0
1,114,96,0
1,115,83,0
1,116,19,0
1,117,88,0
1,118,64,0
1,119,3179,0
1,120,40,0
1,121,1630,0
1,122,78,0
1,123,68,0
1,124,101,0
1,125,110,0
1,126,52,0
1,127,1624,0
1,128,22,0
1,129,12,0
1,130,822,0
1,131,21,0
1,132,101,0
1,133,85,0
1,134,292,0
1,135,47,0
1,136,15,0
1,137,67,0
1,138,67,0
1,139,90,0
1,140,1629,0
1,141,104,0
1,142,61,0
1,143,45,0
1,144,93,0
1,145,19,0
1,146,4728,0
1,147,132,0
1,148,61,0
1,149,1648,0
1,150,1661,0
1,151,87,0
1,152,62,0
1,153,103,0
1,154,21,0
1,155,4878,0
1,156,732,0
1,157,1637,0
1,158,87,0
1,159,715,0
1,160,19,0
1,161,52,0
1,162,45,0
1,163,833,0
1,164,1638,0
1,165,24,0
1,166,80,0
1,167,48,0
1,168,767,0
1,169,17,0
1,170,99,0
1,171,67,0
1,172,48,0
1,173,66,0
1,174,73,0
1,175,18,0
1,176,1654,0
1,177,69,0
1,178,17,0
1,179,65,0
1,180,21,0
1,181,851,0
1,182,1675,0
1,183,4685,0
1,184,116,0
1,185,49,0
1,186,43,0
1,187,3381,0
1,188,76,0
1,189,3231,0
1,190,79,0
1,191,72,0
1,192,19,0
1,193,85,0
1,194,54,0
1,195,716,0
1,196,106,0
1,197,3319,0
1,198,38,0
1,199,98,0
1,200,1725,0
1,201,74,0
1,202,65,0
1,203,16,0
1,204,1720,0
1,205,92,0
1,206,56,0
1,207,62,0
1,208,749,0
1,209,255,0
1,210,59,0
1,211,21,0
1,212,12,0
1,213,212,0
1,214,59,0
1,215,16,0
1,216,102,0
1,217,789,0
1,218,65,0
1,219,1631,0
1,220,124,0
1,221,52,0
1,222,106,0
1,223,52,0
1,224,264,0
1,225,67,0
1,226,66,0
1,227,4677,0
1,228,855,0
1,229,70,0
1,230,62,0
1,231,67,0
1,232,1626,0
1,233,18,0
1,234,95,0
1,235,60,0
1,236,855,0
1,237,18,0
1,238,4815,0
1,239,822,0
1,240,84,0
1,241,52,0
1,242,110,0
