"Client Nr","Query Number","Execution time","Error"
1,1,7564,0
1,2,33,0
1,3,6157,0
1,4,7718,0
1,5,209,0
1,6,4610,0
1,7,198,0
1,8,1604,0
1,9,43,0
1,10,1573,0
1,11,38,0
1,12,11779,0
1,13,1588,0
1,14,29,0
1,15,28,0
1,16,1628,0
1,17,5947,0
1,18,56,0
1,19,4927,0
1,20,1731,0
1,21,54,0
1,22,1634,0
1,23,52,0
1,24,21,0
1,25,40,0
1,26,19,0
1,27,40,0
1,28,4533,0
1,29,1677,0
1,30,1586,0
1,31,54,0
1,32,1665,0
1,33,1583,0
1,34,52,0
1,35,4819,0
1,36,32,0
1,37,7022,0
1,38,37,0
1,39,4875,0
1,40,20,0
1,41,47,0
1,42,5435,0
1,43,7506,0
1,44,196,0
1,45,180,0
1,46,161,0
1,47,5795,0
1,48,57,0
1,49,7226,0
1,50,43,0
1,51,6948,0
1,52,48,0
1,53,4736,0
1,54,48,0
1,55,25,0
1,56,40,0
1,57,48,0
1,58,28,0
1,59,6915,0
1,60,67,0
1,61,4750,0
1,62,40,0
1,63,49,0
1,64,206,0
1,65,4703,0
1,66,22,0
1,67,9043,0
1,68,97,0
1,69,1651,0
1,70,21,0
1,71,173,0
1,72,54,0
1,73,27,0
1,74,1699,0
1,75,1691,0
1,76,4601,0
1,77,6219,0
1,78,56,0
1,79,1617,0
1,80,18,0
1,81,1618,0
1,82,49,0
1,83,14,0
1,84,1624,0
1,85,52,0
1,86,1764,0
1,87,7167,0
1,88,18,0
1,89,30,0
1,90,14,0
1,91,21,0
1,92,4698,0
1,93,53,0
1,94,16,0
1,95,93,0
1,96,30,0
1,97,32,0
1,98,26,0
1,99,8941,0
1,100,183,0
1,101,55,0
1,102,25,0
1,103,24,0
1,104,6059,0
1,105,11608,0
1,106,44,0
1,107,231,0
1,108,194,0
1,109,7075,0
1,110,7349,0
1,111,4613,0
1,112,6366,0
1,113,11909,0
1,114,22,0
1,115,4647,0
1,116,61,0
1,117,28,0
1,118,1609,0
1,119,7635,0
1,120,21,0
1,121,6093,0
1,122,40,0
1,123,28,0
1,124,36,0
1,125,10638,0
1,126,27,0
1,127,6707,0
1,128,1626,0
1,129,1674,0
1,130,52,0
1,131,51,0
1,132,10208,0
1,133,6975,0
1,134,52,0
1,135,9040,0
1,136,6101,0
1,137,216,0
1,138,5219,0
1,139,22,0
1,140,41,0
1,141,17,0
1,142,10300,0
1,143,31,0
1,144,7629,0
1,145,52,0
1,146,17,0
1,147,198,0
1,148,29,0
1,149,1665,0
1,150,49,0
1,151,20,0
1,152,6109,0
1,153,12003,0
1,154,48,0
1,155,35,0
1,156,26,0
1,157,243,0
1,158,53,0
1,159,188,0
1,160,24,0
1,161,170,0
1,162,30,0
1,163,14,0
1,164,4618,0
1,165,9704,0
1,166,4738,0
1,167,1603,0
1,168,1625,0
1,169,6608,0
1,170,172,0
1,171,60,0
1,172,47,0
1,173,47,0
1,174,25,0
1,175,198,0
1,176,27,0
1,177,5936,0
1,178,40,0
1,179,170,0
1,180,4680,0
1,181,34,0
1,182,26,0
1,183,184,0
1,184,4788,0
1,185,208,0
1,186,32,0
1,187,28,0
1,188,159,0
1,189,1543,0
1,190,38,0
1,191,11332,0
1,192,1615,0
1,193,43,0
1,194,15,0
1,195,1645,0
1,196,49,0
1,197,37,0
1,198,28,0
1,199,1660,0
1,200,32,0
1,201,50,0
1,202,36,0
1,203,30,0
1,204,1663,0
1,205,1669,0
1,206,4773,0
1,207,39,0
1,208,27,0
1,209,1596,0
1,210,19,0
1,211,5542,0
1,212,62,0
1,213,30,0
1,214,6057,0
1,215,33,0
1,216,50,0
1,217,4898,0
1,218,9680,0
1,219,17,0
1,220,58,0
1,221,26,0
1,222,170,0
1,223,42,0
1,224,23,0
1,225,36,0
1,226,1763,0
1,227,9453,0
1,228,4621,0
1,229,66,0
1,230,5961,0
1,231,6142,0
1,232,59,0
1,233,27,0
1,234,156,0
1,235,34,0
1,236,1621,0
1,237,4694,0
1,238,4718,0
1,239,50,0
1,240,44,0
1,241,32,0
1,242,32,0
1,243,30,0
1,244,171,0
1,245,7026,0
1,246,1696,0
1,247,30,0
1,248,7236,0
1,249,153,0
1,250,5846,0
1,251,26,0
1,252,33,0
1,253,26,0
1,254,1632,0
1,255,1657,0
1,256,1612,0
1,257,29,0
1,258,18,0
1,259,198,0
1,260,28,0
1,261,156,0
1,262,37,0
1,263,16,0
1,264,161,0
1,265,154,0
1,266,5600,0
1,267,1752,0
1,268,52,0
1,269,7963,0
1,270,15,0
1,271,1685,0
1,272,171,0
1,273,39,0
1,274,51,0
1,275,4729,0
1,276,5899,0
1,277,29,0
1,278,17,0
1,279,4751,0
1,280,211,0
1,281,28,0
1,282,6377,0
1,283,58,0
1,284,50,0
1,285,158,0
1,286,1605,0
1,287,10848,0
1,288,4811,0
1,289,1633,0
1,290,22,0
1,291,45,0
