"Client Nr","Query Number","Execution time","Error"
1,1,1714,0
1,2,37,0
1,3,29,0
1,4,49,0
1,5,55,0
1,6,42,0
1,7,1589,0
1,8,26,0
1,9,1579,0
1,10,20,0
1,11,14,0
1,12,37,0
1,13,28,0
1,14,28,0
1,15,10771,0
1,16,49,0
1,17,8454,0
1,18,256,0
1,19,201,0
1,20,4603,0
1,21,32,0
1,22,31,0
1,23,55,0
1,24,30,0
1,25,50,0
1,26,7566,0
1,27,203,0
1,28,1685,0
1,29,49,0
1,30,18,0
1,31,50,0
1,32,201,0
1,33,6990,0
1,34,61,0
1,35,178,0
1,36,26551,0
1,37,27418,0
1,38,1595,0
1,39,1556,0
1,40,42,0
1,41,1559,0
1,42,21,0
1,43,53,0
1,44,27882,0
1,45,163,0
1,46,26469,0
1,47,8967,0
1,48,39,0
1,49,18,0
1,50,9218,0
1,51,219,0
1,52,33,0
1,53,52,0
1,54,1574,0
1,55,4592,0
1,56,25,0
1,57,28,0
1,58,23,0
1,59,38,0
1,60,52,0
1,61,162,0
1,62,29,0
1,63,196,0
1,64,8156,0
1,65,22,0
1,66,196,0
1,67,34,0
1,68,157,0
1,69,40,0
1,70,28,0
1,71,1699,0
1,72,24032,0
1,73,43,0
1,74,31,0
1,75,51,0
1,76,1548,0
1,77,16,0
1,78,36,0
1,79,37,0
1,80,29,0
1,81,4935,0
1,82,7787,0
1,83,52,0
1,84,1615,0
1,85,1633,0
1,86,52,0
1,87,9836,0
1,88,165,0
1,89,1578,0
1,90,38,0
1,91,161,0
1,92,1592,0
1,93,22,0
1,94,157,0
1,95,26751,0
1,96,67,0
1,97,25459,0
1,98,62,0
1,99,24,0
1,100,51,0
1,101,158,0
1,102,48,0
1,103,7177,0
1,104,20,0
1,105,14,0
1,106,16,0
1,107,28043,0
1,108,1590,0
1,109,1674,0
1,110,11030,0
1,111,7011,0
1,112,1720,0
1,113,30,0
1,114,23,0
1,115,56,0
1,116,22,0
1,117,12,0
1,118,16,0
1,119,31,0
1,120,168,0
1,121,41,0
1,122,4677,0
1,123,35,0
1,124,4786,0
1,125,186,0
1,126,1661,0
1,127,21,0
1,128,51,0
1,129,172,0
1,130,31,0
1,131,4568,0
1,132,31,0
1,133,14,0
1,134,29,0
1,135,8906,0
1,136,36,0
1,137,27276,0
1,138,7080,0
1,139,55,0
1,140,45,0
1,141,20,0
1,142,5109,0
1,143,48,0
1,144,23,0
1,145,4931,0
1,146,37,0
1,147,16,0
1,148,54,0
1,149,8741,0
1,150,4665,0
1,151,1670,0
1,152,41,0
1,153,20,0
1,154,50,0
1,155,35,0
1,156,30,0
1,157,6885,0
1,158,22,0
1,159,1681,0
1,160,148,0
1,161,33,0
1,162,167,0
1,163,1609,0
1,164,4709,0
1,165,41,0
1,166,17,0
1,167,1648,0
1,168,7432,0
1,169,15,0
1,170,180,0
1,171,6884,0
1,172,51,0
1,173,27,0
1,174,25,0
1,175,1599,0
1,176,186,0
1,177,4728,0
1,178,50,0
1,179,25,0
1,180,1587,0
1,181,7661,0
1,182,1671,0
1,183,57,0
1,184,151,0
1,185,30,0
1,186,155,0
1,187,159,0
1,188,1639,0
1,189,32,0
1,190,26,0
1,191,139,0
1,192,148,0
1,193,24,0
1,194,28,0
1,195,7841,0
1,196,51,0
1,197,10674,0
1,198,61,0
1,199,159,0
1,200,24,0
1,201,46,0
1,202,24,0
1,203,1578,0
1,204,25979,0
1,205,35,0
1,206,37,0
1,207,156,0
1,208,27,0
1,209,47,0
1,210,1607,0
1,211,24138,0
1,212,42,0
1,213,16,0
1,214,4618,0
1,215,22,0
1,216,12692,0
1,217,27,0
1,218,159,0
1,219,39,0
1,220,4513,0
