"Client Nr","Query Number","Execution time","Error"
1,1,182,0
2,38,227,0
3,76,230,0
4,114,221,0
5,152,255,0
2,39,119,0
1,2,177,0
3,77,136,0
4,115,142,0
1,3,118,0
2,40,138,0
5,153,233,0
3,78,141,0
4,116,189,0
5,154,114,0
2,41,145,0
1,4,166,0
3,79,154,0
4,117,134,0
1,5,97,0
5,155,136,0
2,42,135,0
1,6,96,0
3,80,181,0
5,156,111,0
4,118,156,0
2,43,156,0
3,81,95,0
1,7,120,0
5,157,121,0
4,119,133,0
2,44,117,0
3,82,108,0
1,8,121,0
4,120,137,0
5,158,173,0
3,83,119,0
2,45,138,0
5,159,87,0
1,9,194,0
3,84,112,0
4,121,157,0
2,46,145,0
5,160,141,0
4,122,105,0
1,10,141,0
3,85,147,0
2,47,183,0
5,161,132,0
1,11,118,0
4,123,147,0
3,86,184,0
2,48,125,0
5,162,123,0
1,12,121,0
2,49,92,0
3,87,119,0
4,124,211,0
5,163,133,0
1,13,155,0
3,88,144,0
5,164,114,0
2,50,183,0
4,125,147,0
1,14,149,0
5,165,84,0
3,89,117,0
1,15,93,0
2,51,163,0
4,126,175,0
5,166,133,0
3,90,129,0
1,16,104,0
2,52,121,0
4,127,142,0
5,167,135,0
3,91,168,0
1,17,162,0
2,53,138,0
4,128,120,0
5,168,173,0
1,18,107,0
3,92,147,0
2,54,122,0
5,169,97,0
4,129,212,0
1,19,142,0
3,93,145,0
2,55,151,0
3,94,93,0
5,170,169,0
4,130,145,0
1,20,149,0
2,56,129,0
1,21,90,0
5,171,137,0
4,131,126,0
3,95,157,0
2,57,139,0
1,22,108,0
5,172,112,0
4,132,124,0
3,96,136,0
2,58,126,0
1,23,104,0
3,97,115,0
2,59,98,0
5,173,175,0
4,133,172,0
1,24,136,0
2,60,123,0
3,98,151,0
4,134,117,0
5,174,147,0
1,25,126,0
3,99,112,0
2,61,143,0
4,135,128,0
5,175,122,0
2,62,77,0
1,26,171,0
3,100,124,0
4,136,109,0
5,176,128,0
1,27,124,0
4,137,115,0
2,63,167,0
3,101,140,0
5,177,133,0
4,138,114,0
3,102,105,0
1,28,155,0
2,64,139,0
5,178,132,0
4,139,110,0
2,65,103,0
1,29,131,0
3,103,155,0
1,30,93,0
5,179,203,0
4,140,164,0
2,66,146,0
