"Client Nr","Query Number","Execution time","Error"
1,1,61,0
1,2,14,0
1,3,10,0
1,4,8,0
1,5,9,0
1,6,9,0
1,7,8,0
1,8,9,0
1,9,9,0
1,10,9,0
1,11,8,0
1,12,8,0
1,13,8,0
1,14,9,0
1,15,8,0
1,16,8,0
1,17,8,0
1,18,9,0
1,19,8,0
1,20,8,0
1,21,7,0
1,22,8,0
1,23,8,0
1,24,9,0
1,25,7,0
1,26,9,0
1,27,8,0
1,28,9,0
1,29,7,0
1,30,9,0
1,31,8,0
1,32,8,0
1,33,8,0
1,34,8,0
1,35,7,0
1,36,8,0
1,37,8,0
1,38,8,0
1,39,7,0
1,40,8,0
1,41,8,0
1,42,7,0
1,43,9,0
1,44,8,0
1,45,7,0
1,46,9,0
1,47,8,0
1,48,8,0
1,49,8,0
1,50,7,0
1,51,10,0
1,52,7,0
1,53,7,0
1,54,11,0
1,55,9,0
1,56,6,0
1,57,8,0
1,58,8,0
1,59,8,0
1,60,8,0
1,61,7,0
1,62,8,0
1,63,8,0
1,64,10,0
1,65,8,0
1,66,7,0
1,67,7,0
1,68,8,0
1,69,8,0
1,70,7,0
1,71,8,0
1,72,8,0
1,73,9,0
1,74,9,0
1,75,8,0
1,76,7,0
1,77,7,0
1,78,8,0
1,79,13,0
1,80,9,0
1,81,9,0
1,82,7,0
1,83,8,0
1,84,9,0
1,85,8,0
1,86,8,0
1,87,7,0
1,88,8,0
1,89,9,0
1,90,7,0
1,91,9,0
1,92,8,0
1,93,7,0
1,94,7,0
1,95,8,0
1,96,8,0
1,97,8,0
1,98,10,0
1,99,8,0
1,100,9,0
1,101,8,0
1,102,8,0
1,103,8,0
1,104,9,0
1,105,7,0
1,106,9,0
1,107,8,0
1,108,8,0
1,109,8,0
1,110,6,0
1,111,8,0
1,112,7,0
1,113,8,0
1,114,8,0
1,115,8,0
1,116,8,0
1,117,8,0
1,118,7,0
1,119,8,0
1,120,8,0
1,121,8,0
1,122,8,0
1,123,8,0
1,124,8,0
1,125,8,0
1,126,9,0
1,127,8,0
1,128,7,0
1,129,8,0
1,130,10,0
1,131,8,0
1,132,8,0
